Trough,Temperature,Tank,Sulfate mg/L,28-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,8-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov,30-Nov,7-Dec,14-Dec,21-Dec,28-Dec
1,14,1,0,10,10,10,10,10,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,14,2,400,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,14,3,1000,10,10,10,10,9,9,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,4,200,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,14,5,800,10,10,10,10,10,10,8,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,6,600,10,10,10,10,10,10,9,9,9,7,5,4,4,4,4,4,4,4,4,4,4,4,4
2,22,7,600,10,9,9,9,9,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2,22,8,200,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,22,9,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2,22,10,400,10,10,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,22,11,1000,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,22,12,800,10,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
3,16,13,200,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
3,16,14,800,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,16,15,600,10,10,10,10,9,8,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,16,16,1000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3,16,17,0,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8
3,16,18,400,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4,20,19,1000,10,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
4,20,20,0,10,10,10,10,10,10,10,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7
4,20,21,400,10,10,10,10,10,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6
4,20,22,800,10,9,9,7,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,20,23,600,10,9,8,8,8,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,20,24,200,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
5,12,25,400,10,10,10,10,10,10,10,10,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7
5,12,26,1000,10,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,12,27,800,10,10,9,9,9,9,9,9,9,8,6,4,3,3,3,3,3,3,3,3,3,3,3
5,12,28,600,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
5,12,29,200,10,10,10,10,10,10,10,10,10,6,5,5,5,5,5,5,5,5,5,5,5,5,5
5,12,30,0,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7
6,18,31,800,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,18,32,600,10,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,18,33,200,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,18,34,0,10,10,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7
6,18,35,400,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8
6,18,36,1000,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
